lr-SGD/pg1,lr-SGD/pg2,step,val_loss,val_acc,epoch,scale0,scale1,scale2,scale3,l1_reg,scale_reg,loss,train_acc
0.0001,0.001,0,,,,,,,,,,,
,,73,0.14709962904453278,0.6887417435646057,0,,,,,,,,
,,73,,,0,2.125837802886963,0.397288054227829,2.109116792678833,1.1719841957092285,0.0,1.4579824209213257,0.22804953157901764,0.6283783912658691
0.0001,0.001,74,,,,,,,,,,,
,,147,0.1129533126950264,0.7748344540596008,1,,,,,,,,
,,147,,,1,2.124199390411377,0.4009712338447571,2.1092324256896973,1.1496654748916626,0.0,1.4574583768844604,0.14981655776500702,0.7331081032752991
0.0001,0.001,148,,,,,,,,,,,
,,221,0.10022469609975815,0.8344370722770691,2,,,,,,,,
,,221,,,2,2.1140923500061035,0.404375821352005,2.1009695529937744,1.141473412513733,0.0,1.453991174697876,0.1295505166053772,0.7770270109176636
0.0001,0.001,222,,,,,,,,,,,
,,295,0.09140070527791977,0.8476821184158325,3,,,,,,,,
,,295,,,3,2.097999334335327,0.3856324255466461,2.087766170501709,1.208214282989502,0.0,1.4484422206878662,0.11283722519874573,0.7972972989082336
0.0001,0.001,296,,,,,,,,,,,
,,369,0.08584126085042953,0.8741722106933594,4,,,,,,,,
,,369,,,4,2.0811729431152344,0.3985512852668762,2.0727360248565674,1.1726536750793457,0.0,1.4426268339157104,0.0951358899474144,0.8310810923576355
0.0001,0.001,370,,,,,,,,,,,
,,443,0.09508836269378662,0.8476821184158325,5,,,,,,,,
,,443,,,5,2.0640296936035156,0.4173799157142639,2.0570976734161377,1.1249791383743286,0.0,1.4366700649261475,0.09270500391721725,0.8682432174682617
0.0001,0.001,444,,,,,,,,,,,
,,517,0.08383195847272873,0.8807947039604187,6,,,,,,,,
,,517,,,6,2.078230381011963,0.4154844284057617,2.073359966278076,1.1127231121063232,0.0,1.4416030645370483,0.08924303948879242,0.8479729890823364
0.0001,0.001,518,,,,,,,,,,,
,,591,0.08815153688192368,0.860927164554596,7,,,,,,,,
,,591,,,7,2.0512356758117676,0.407348096370697,2.0486223697662354,1.1593307256698608,0.0,1.4322130680084229,0.07596778869628906,0.8817567825317383
0.0001,0.001,592,,,,,,,,,,,
,,665,0.07322704792022705,0.9072847962379456,8,,,,,,,,
,,665,,,8,2.053535223007202,0.39507293701171875,2.05314564704895,1.1970895528793335,0.0,1.4330123662948608,0.09986398369073868,0.8277027010917664
0.0001,0.001,666,,,,,,,,,,,
,,739,0.07320874184370041,0.8807947039604187,9,,,,,,,,
,,739,,,9,2.078205108642578,0.40275734663009644,2.0799951553344727,1.1605144739151,0.0,1.441597819328308,0.06318914890289307,0.8952702879905701
0.0001,0.001,740,,,,,,,,,,,
,,813,0.07615410536527634,0.9205297827720642,10,,,,,,,,
,,813,,,10,2.0651426315307617,0.4136960208415985,2.0691580772399902,1.1364809274673462,0.0,1.437058687210083,0.07737323641777039,0.8682432174682617
0.0001,0.001,814,,,,,,,,,,,
,,887,0.0697881430387497,0.9337748289108276,11,,,,,,,,
,,887,,,11,2.056769847869873,0.4120238125324249,2.062872886657715,1.1560108661651611,0.0,1.4341434240341187,0.04863589629530907,0.9222972989082336
0.0001,0.001,888,,,,,,,,,,,
,,961,0.06780427694320679,0.9072847962379456,12,,,,,,,,
,,961,,,12,2.064276933670044,0.4194224774837494,2.072849750518799,1.1172006130218506,0.0,1.436758279800415,0.07215619832277298,0.8885135054588318
0.0001,0.001,962,,,,,,,,,,,
,,1035,0.06923870742321014,0.9205297827720642,13,,,,,,,,
,,1035,,,13,2.0621345043182373,0.4206647574901581,2.0729010105133057,1.1150041818618774,0.0,1.436012625694275,0.06763054430484772,0.8851351141929626
0.0001,0.001,1036,,,,,,,,,,,
,,1109,0.07231459021568298,0.9139072895050049,14,,,,,,,,
,,1109,,,14,2.050931930541992,0.4237164556980133,2.063868284225464,1.099687933921814,0.0,1.4321069717407227,0.07535240799188614,0.8817567825317383
0.0001,0.001,1110,,,,,,,,,,,
,,1183,0.0715126022696495,0.8807947039604187,15,,,,,,,,
,,1183,,,15,2.042877197265625,0.4212590754032135,2.0577657222747803,1.1142559051513672,0.0,1.4292911291122437,0.04305039718747139,0.9290540814399719
0.0001,0.001,1184,,,,,,,,,,,
,,1257,0.07516435533761978,0.8940397500991821,16,,,,,,,,
,,1257,,,16,2.0307774543762207,0.41675865650177,2.0474162101745605,1.1425374746322632,0.0,1.4250526428222656,0.06134149804711342,0.9054054021835327
0.0001,0.001,1258,,,,,,,,,,,
,,1331,0.08498790115118027,0.8940397500991821,17,,,,,,,,
,,1331,,,17,2.0373291969299316,0.42070356011390686,2.056483030319214,1.1135212182998657,0.0,1.4273494482040405,0.06583248823881149,0.9155405163764954
0.0001,0.001,1332,,,,,,,,,,,
,,1405,0.08722488582134247,0.887417197227478,18,,,,,,,,
,,1405,,,18,2.030517578125,0.41812923550605774,2.051572322845459,1.1205050945281982,0.0,1.4249539375305176,0.08257117867469788,0.8682432174682617
0.0001,0.001,1406,,,,,,,,,,,
,,1479,0.06352556496858597,0.9337748289108276,19,,,,,,,,
,,1479,,,19,2.016355514526367,0.42675626277923584,2.040520191192627,1.0893940925598145,0.0,1.4199838638305664,0.05086247995495796,0.912162184715271
0.0001,0.001,1480,,,,,,,,,,,
,,1553,0.08505098521709442,0.8940397500991821,20,,,,,,,,
,,1553,,,20,2.0438828468322754,0.41764554381370544,2.0696442127227783,1.0919212102890015,0.0,1.4296376705169678,0.06762880831956863,0.8952702879905701
0.0001,0.001,1554,,,,,,,,,,,
,,1627,0.060776907950639725,0.9205297827720642,21,,,,,,,,
,,1627,,,21,2.046790599822998,0.4100588858127594,2.073894500732422,1.1082154512405396,0.0,1.430660367012024,0.051510509103536606,0.9290540814399719
0.0001,0.001,1628,,,,,,,,,,,
,,1701,0.06592456251382828,0.9271523356437683,22,,,,,,,,
,,1701,,,22,2.053617238998413,0.4095451235771179,2.0828118324279785,1.101444959640503,0.0,1.4330445528030396,0.05713951960206032,0.912162184715271
0.0001,0.001,1702,,,,,,,,,,,
,,1775,0.0665343701839447,0.8940397500991821,23,,,,,,,,
,,1775,,,23,2.0563669204711914,0.4077296257019043,2.0877389907836914,1.110134482383728,0.0,1.4340038299560547,0.04810352995991707,0.9189189076423645
0.0001,0.001,1776,,,,,,,,,,,
,,1849,0.05579383671283722,0.940397322177887,24,,,,,,,,
,,1849,,,24,2.046549081802368,0.4022473990917206,2.0793569087982178,1.135475993156433,0.0,1.4305760860443115,0.05182695761322975,0.9324324131011963
0.0001,0.001,1850,,,,,,,,,,,
,,1923,0.06461091339588165,0.9139072895050049,25,,,,,,,,
,,1923,,,25,2.043325424194336,0.4110221266746521,2.079350233078003,1.1061948537826538,0.0,1.429449200630188,0.06703369319438934,0.912162184715271
0.0001,0.001,1924,,,,,,,,,,,
,,1997,0.06893101334571838,0.8940397500991821,26,,,,,,,,
,,1997,,,26,2.0295281410217285,0.41193896532058716,2.0673248767852783,1.1185106039047241,0.0,1.4246138334274292,0.052839599549770355,0.9222972989082336
0.0001,0.001,1998,,,,,,,,,,,
,,2071,0.05706741660833359,0.9139072895050049,27,,,,,,,,
,,2071,,,27,2.037231683731079,0.40731295943260193,2.0768561363220215,1.1270917654037476,0.0,1.4273160696029663,0.0381648875772953,0.9560810923576355
0.0001,0.001,2072,,,,,,,,,,,
,,2145,0.06460150331258774,0.9072847962379456,28,,,,,,,,
,,2145,,,28,2.046248197555542,0.41328680515289307,2.0892531871795654,1.0905905961990356,0.0,1.4304695129394531,0.051207639276981354,0.912162184715271
0.0001,0.001,2146,,,,,,,,,,,
,,2219,0.058462172746658325,0.9139072895050049,29,,,,,,,,
,,2219,,,29,2.0395965576171875,0.42257219552993774,2.0861592292785645,1.0611687898635864,0.0,1.4281431436538696,0.04693654924631119,0.9358108043670654
0.0001,0.001,2220,,,,,,,,,,,
,,2293,0.05728583782911301,0.9139072895050049,30,,,,,,,,
,,2293,,,30,2.015953302383423,0.4227595031261444,2.0638785362243652,1.0878905057907104,0.0,1.4198417663574219,0.038962021470069885,0.9493243098258972
0.0001,0.001,2294,,,,,,,,,,,
,,2367,0.060612697154283524,0.9205297827720642,31,,,,,,,,
